Date,Header
"03. Aza, 2020
",2021erako Uda Ikastaroen proposamenak jasotzeko epea zabalik
"29. Urr, 2020
",Aurten udazkenean bukatuko diren Uda Ikastaroen 39. Edizioak harrera aparta izan du
"21. Urr, 2020
",Aubixak eta Aldundiak Euskadiko herritarrek zainketekin duten konpromisoari eta belaunaldien arteko itun berri bati buruzko lehen inkesta egin dute
"28. Uzt, 2020
",Uda Ikastaroak Topagune izaten jarraitzen dute COVID-19aren krisialdian
"22. Uzt, 2022
",Itziar Cortés - Itzulpengintza etengabeko eraldaketa teknologikoan murgilduta
"22. Uzt, 2022
",Beñat Çuburu-Ithorotz - Historia de la migración transfronteriza en América y sus representaciones
"21. Uzt, 2022
","Miren Estensoro - EUSKAL EUROHIRIA, mugaz gaindiko polizentrismo-eredua"
"20. Uzt, 2022
",Cristina Alonso Saavedra - Cambio climático y feminismo
"20. Uzt, 2022
","Christophe Sohn - EUROCITÉS BASQUES, modèle de polycentrisme transfrontalier"
"20. Uzt, 2022
",Giacomo Delledonne - La cooperación transfronteriza a prueba de las crisis europeas
"20. Uzt, 2022
",Hezkuntza ekosozialaren balioa ingurunea hobetzeko eta komunitate gisa aurrera egiteko
"18. Uzt, 2022
",Fabienne Pinos - Développement territorial solidaire : l'apport des monnaies locales
"14. Uzt, 2022
",Carlos Briones - La domesticación de la energía
"11. Uzt, 2022
",Francisco Aldecoa - La agresión rusa a Ucrania
"29. Eka, 2022
",Mexikoko ikasle guztiek badakite nor izan zen Cuauhtemoc. Espainiarrek badakite nor izan zen Hernan Cortes?
"28. Eka, 2022
",“Ekonomia Zirkularraren alderdi txarra da egin beharreko aldaketei ez ekiteko eslogan gisa erabiltzen dela zenbaitetan”
"24. Eka, 2022
",Surfrider
"23. Eka, 2022
",Mugikortasun jasangarria eta Aldaketa Klimatikoa
"22. Eka, 2022
",Moda iraunkorra eta Klima Aldaketa
"21. Eka, 2022
",Ingurumen zuzenbideko masterraren 25.urteurrena
"21. Eka, 2022
",Arrantza jasangarria eta Klima-Aldaketa
"21. Eka, 2022
",Kokapen anitzeko mugak
"21. Eka, 2022
",Brasilgo justizia kriminalaren sistema gero eta gehiago da erantzukizunik aitortzen ez duen “akordioen” sistema bat
"20. Eka, 2022
","Lehen laguntza psikologikoak emateak, lehen minututik hasita, diagnostikoa hobetzen du"
"09. Eka, 2022
",UNUM Mugaz Gaindiko Uda Ikastaroen lehen edizioa Baionan ospatuko da
"08. Eka, 2022
",Terapia aurreratu pertsonalizatuak: medikuntzaren etorkizuna
"31. Mai, 2022
",Europak fabrikazioan erreferente izan behar du
"27. Mai, 2022
",Ezagutzaren alde
"16. Mai, 2022
",Itsas kutsadura eta klima-aldaketa
"05. Mai, 2022
",Ezagutzaren alde
"04. Mai, 2022
",Lehen sektorea eta Aldaketa Klimatikoa
"22. Api, 2022
", Nola ikasi ardiengandik bulego batean ulertzen ez dena
"28. Mar, 2022
",Osasuna eta ingurumena lotzea
"25. Mar, 2022
","“Oso zaila da zehazki jakitea zer gertatuko den eta non"""
"01. Urr, 2020
","Iraunkortasuna: definiziotik, kudeaketa-eskala egokira"
"29. Ira, 2020
","Car Sharing, hau da, pertsona talde batek auto bat edo batzuk partekatzea era egituratuan."
"29. Ira, 2020
",Auto elektrikoaren oraina eta etorkizuna 
"24. Ira, 2020
",Gizakiak naturarekin duen «harreman toxikoa» jakinarazteko erronka
"22. Ira, 2020
",«Osasun-krisiaren eta ingurumen-krisiaren artean dagoen erlazio guztia jakinarazteko erronka dugu»
"08. Ira, 2020
","Klima-aldaketaren ondorioak ez dira soilik ingurumenekoak, baizik eta, era berean, sozialak."
"06. Ira, 2020
",Hezkuntza jasangarria
"02. Ira, 2020
",Beste Ekonomia bat martxan dago: mugak sozialki arduratsuak diren inbertsioetan
"27. Abu, 2020
",Donostia Sustainability Forum 2020 plataformaren programazioa aurkeztu dute
"22. Uzt, 2020
",Ihobe eta APIAk biodibertsitate eta natura-ondareari buruzko Ingurumen-komunikazioaren Eskola abiatuko dute UPV/EHUren Uda Ikastaroetan
"02. Mar, 2022
",Basoak eta Klima Aldaketa
"18. Ots, 2022
",Artikoa eta klima aldaketa
"28. Urt, 2022
",Hezeguneen balio ekologikoa: bizitza eta garapena
"17. Urt, 2022
",Online ikastaroen programa (2022)
"20. Abe, 2021
","“Dagoeneko ez gara planeta salbatzeaz ari, krisi klimatikoaren ondorioz arriskuan dauden gizakiez hitz egin behar dugu"""
"20. Abe, 2021
",UPV/EHUren 40 urteko Uda Ikastaroen memoria akademikoa
"20. Abe, 2021
",“Sinboloen eta Hitzen artean.UPV/EHUko Uda Ikastaroen 40 urteak”
"14. Abe, 2021
",Aurtengo edizioaren memoria (2021)
"30. Aza, 2021
",Elikagaien soberakinak emateko praktika egokiei buruzko tailerra: elikagaien hondakinak murrizten dituen soluzio solidarioa
"22. Aza, 2021
",Donostia Sustainability Forumerako Uda Ikastaroen proposamenetarako ideiak
"19. Uzt, 2020
",Bakterioak dira baldintza gogorretara egokitzearen adibide paradigmatikoa
"17. Uzt, 2020
",Artea eta arkitektura garai bateko adierazpenak dira
"06. Uzt, 2020
",Kriminologia Berdea: Justizia klabe ekologikoan
"30. Eka, 2020
",Buruari bueltak emateko hainbeste denbora izan ondoren
"23. Eka, 2020
",Hitz egin gutxiago laguntzaz eta gehiago lankidetzaz
"23. Eka, 2020
",Zenbaki guztiak gorriz daudenean
"17. Eka, 2020
","Pertsonak geolokalizatzeko teknologia bai, horrek emango digun informazioa kudeatzeko gai bagara"
"04. Eka, 2020
","Ondarea zaintzea, ingurune lagunkoiak sortzea eta 4.0 eraikuntza"
"16. Ots, 2020
",Itsas espezieak poloetara eta ur sakonagoetara doaz
"01. Urr, 2019
",Nekazaritza Politika Bateratuari buruzko  Uda Ikastaroa 
"30. Ira, 2021
",Itsaso eta klima aldaketa
"29. Ira, 2021
",UPV/EHUko Uda Ikastaroak indarberrituta atera dira pandemiatik
"22. Ira, 2021
",Prozesuaren ideia oinarrizkoa da hiri berroneratzean
"22. Ira, 2021
","Erronka azkar eta ondo inbertitzea da, benetan mugikortasunaren ahalmen eraldatzailea duten proiektueta"
"15. Ira, 2021
","Digitalizatu, deskarbonizatzeko"
"10. Ira, 2021
","Arkitekturak zehaztu dezake nola bizi garen eta nola erlazionatzen garen, elkarri lagunduz krisi sistemikoetan erresilienteagoak izan gaitezen"
"08. Ira, 2021
",El género impuesto por la normatividad es un aprendizaje y disciplina de las diferencias
"01. Ira, 2021
","""Ez dugu esan behar okerrago biziko garela klima-aldaketa geldiarazteko, baizik eta klima-aldaketa geldiaraziko dugula hobeto bizitzeko"""
"01. Ira, 2021
",Europako Batasunaren erronka nagusiak
"27. Abu, 2021
",Azkar jokatu behar dugu. Gradu bakoitzak garrantzia du
"19. Aza, 2021
","Artikutza, Donostiako iraunkortasunerako elementua"
"12. Aza, 2021
",Elikagaiak alferrik xahutzeko ohitura errotik kentzea ez da borondate kontua
"29. Urr, 2021
",Hirietako gune berdeak ez dira lorez betetako zelaiak
"28. Urr, 2021
",Eskerrik asko Ricardo!
"28. Urr, 2021
",Gizarte inflexio puntuak: planeta salbatzeko aukerak
"27. Urr, 2021
","Xabier Garitano: Erabakiak ez dira zeruari begiratuz hartzen, teknologiak ematen dizkigun datuei begiratuz baizik"
"27. Urr, 2021
","Mendira igo aurretik, begiratu geoEuskadi-ren bisoreari"
"19. Urr, 2021
",Deskarbonizazioari aurre egiteko iraganeko erronkak gogoan
"08. Urr, 2021
",Adimen artifizialari ere zibereraso egin dakioke
"06. Urr, 2021
",Uda Ikastaroen 40. urteurrena
"10. Ira, 2019
",Teknologia berrien erabilera problematiko eta mendekotasun-sortzaileak beste drogekiko mendekotasuna garatzeko probabilitatea handitzen du
"08. Eka, 2021
",Adimen artifizialik gabe ezingo diogu klima krisiari aurre egin
"04. Eka, 2021
",2050erako lor daiteke itsas habitat eta espezieen galera iraultzea
"03. Eka, 2021
","""Kostalde Harritsua: Geologia, Ekologia, Eskultura"" sinposioa"
"28. Mai, 2021
",Basque Green Deal eta Donostia Sustainability Forum elkarlanean iraunkortasunaren alde
"27. Mai, 2021
","UPV/EHUko Uda Ikastaroek 25 proposamen eskaintzen dituzte Bizkaian, era guztietako gaiak berrikasteko"
"26. Mai, 2021
","""Irakasteko Ikasten"" eta ""Bizitzaren Bidaia"" programak aurkeztu ditugu"
"14. Mai, 2021
",Natura eta Artea DSFn
"11. Mai, 2021
",Elikagai iraunkorragoak nola lortu
"27. Api, 2021
","DSF-en bigarren edizioan planetaren osasun integralari buruzko edukiak landuko dira, iraunkortasunerako 5 erronkaren bidez"
"18. Api, 2021
","Naturan Heziz, udaberria ezagutu"
"15. Api, 2021
",Ingurumen-hezkuntza eskoletan
"14. Api, 2021
",BERRIKAS DEZAGUN
"08. Api, 2021
",Urdaibai Biosfera Erreserbako gidari eta interprete homologatuen III. Ikastaroa
"21. Abe, 2020
",2020ko Uda Ikastaroen Memoria
"14. Abe, 2020
",Ikasgelan testuak ulertzen lagunduz
"10. Abe, 2020
",Turismo jasangarriaren aldeko apustua
"03. Aza, 2020
",2021erako Uda Ikastaroen proposamenak jasotzeko epea zabalik
"30. Urr, 2020
",Iraultza energetikoa elektrizitatetik pasatzen da
"29. Urr, 2020
",Aurten udazkenean bukatuko diren Uda Ikastaroen 39. Edizioak harrera aparta izan du
"21. Urr, 2020
",Aubixak eta Aldundiak Euskadiko herritarrek zainketekin duten konpromisoari eta belaunaldien arteko itun berri bati buruzko lehen inkesta egin dute
"13. Uzt, 2021
","""XX. mendea giza eskubideen mendea izan bazen, XXI.ak naturaren eskubideen mendea izan behar du"""
"09. Uzt, 2021
","Kosmoseko beste leku batzuetan bizitza aurkitzen badugu, esan nahiko luke biologia sortzen dela kimika nahiko konplexua denean"
"08. Uzt, 2021
",Zainketen balioa kuantifikatzeak ez du esan nahi gizatasuna kentzen zaienik
"06. Uzt, 2021
",Hau ez da amaitu
"05. Uzt, 2021
",DSFn bi kide gazte berri
"02. Uzt, 2021
",Biodibertsitatea mantentzeko abeltzaintzak duen eginkizuna ez da kontuan hartzen klima-aldaketaren eztabaidan.
"01. Uzt, 2021
",Farmakokutsadura: ingurumena mehatxatzen duen kutsadura ikusezina
"30. Eka, 2021
",Ezin da pertsona baten bizitza laburbildu hiltzeko moduagatik
"21. Eka, 2021
","ETEak, enpresa eraldaketa iraunkorrean galdutako zatia?"
"18. Eka, 2021
",Teknologiarekin sinbiosia duten izakiak gara
"27. Aza, 2018
",301proposamen jaso ditugu 2019ko Uda Ikastaroetarako
"27. Aza, 2018
",Uda Ikastaroak EUSKARALDIArekin bat egiten dugu
"27. Aza, 2018
","Geoinformazioa, mapa bat baino gehiago"
"19. Aza, 2018
",2018ko Uda Ikastaroen online programa 25 ekintzekin itxi da
"08. Aza, 2018
",Egungo gazteen elikadura-ohituren aldaketa premia. Etorkizun jasangarriago bat helburu
"07. Aza, 2018
",Gogoetak ingurune atsekabegarri batean
"25. Urr, 2018
",Trantsizio energetikoa eta demokrazia: eragileak eta esperientziak
"24. Urr, 2018
",Europan suizidioa da nerabeen artean heriotza gehien eragiten dituen kausa
"08. Urr, 2018
",UPV/EHUko Uda Ikastaroen XXXVIII. Ediziorako proposamenak aurkezteko epea irekia dago
"17. Ira, 2018
",2018. Edizioaren Uda Ikastaroen balantzea
"20. Abu, 2021
",Ez du balio esateak aurrera jarraitzen dugula eta hemen ez dela ezer gertatu. Orbaindu beharreko zauri psikologikoak ditugu
"20. Abu, 2021
",Adimen artifizialaren erabileran berme judizialak indartu behar dira
"17. Abu, 2021
",Etxebizitza-politika genero-ikuspegitik argitu behar da
"17. Abu, 2021
","Komunitateen ongizatea bermatu ezin badugu, ezin ditugu orangutanak babestu"
"29. Uzt, 2021
",Gastronomia jasangarria: gizartea eraldatzeko beharrezko osagaia
"26. Uzt, 2021
",Ingurumen-esposizioek giza osasunean dituzten ondorioak
"22. Uzt, 2021
",Herritarren ingurumen kontzientzia hobetzen
"19. Uzt, 2021
",Ingurumen-kutsadura plazentaren bidez sartzen da fetuan
"15. Uzt, 2021
","Notarioaren jarduteko modua aldatu egingo da, baina beharrezkoa izaten jarraituko du"
"14. Uzt, 2021
",Hemendik betikotasunera: Eta apokalipsia ez bada inoiz iristen?
"06. Ira, 2020
",Hezkuntza jasangarria
"02. Ira, 2020
",Beste Ekonomia bat martxan dago: mugak sozialki arduratsuak diren inbertsioetan
"27. Abu, 2020
",Donostia Sustainability Forum 2020 plataformaren programazioa aurkeztu dute
"28. Uzt, 2020
",Uda Ikastaroak Topagune izaten jarraitzen dute COVID-19aren krisialdian
"27. Uzt, 2020
",Udazken-Neguko denboraldia
"22. Uzt, 2020
",Ihobe eta APIAk biodibertsitate eta natura-ondareari buruzko Ingurumen-komunikazioaren Eskola abiatuko dute UPV/EHUren Uda Ikastaroetan
"19. Uzt, 2020
",Bakterioak dira baldintza gogorretara egokitzearen adibide paradigmatikoa
"17. Uzt, 2020
",Artea eta arkitektura garai bateko adierazpenak dira
"17. Uzt, 2020
","Parte-hartzea indartuko dute Uda Ikastaroek, Gipuzkoako Foru Aldundiaren eskutik"
"14. Uzt, 2020
",Herritarrak kohesionatuz
"04. Uzt, 2019
",38. Uda Ikastaroen Irekiera Ekitaldia
"04. Uzt, 2019
",Suizidio baten aurrean familia errudun senti daiteke
"02. Uzt, 2019
",Teknologia digitalaren helburua mendekotasuna sustatzea da
"02. Uzt, 2019
",Europa da energiaren eraldaketa sistemiko eta kualitatiboa lehentasun gisa hartzen duen mundu-potentzia bakarra
"24. Eka, 2019
",Depresioarekin bizitzea: kontakizun bat lehen pertsonan
"24. Eka, 2019
",3D inprimatzeak eta ebakuntza-gela areagotuak eskaintzen duten laguntza
"24. Eka, 2019
",Donostia hiri adimentsuen edo smart hirien gailurrean
"21. Eka, 2019
",Biktima izateak ez dakar beti erasotzaile izatea
"20. Eka, 2019
","Indarkeria gazteen arteko harremanetan: iturri psikologikoak, detekzio azkarra eta prebentzioa."
"19. Eka, 2019
",Sexu-indarkeria ez da besterik gabe sexu-indarkeria; indarkeria patriarkala da
"22. Abu, 2019
",Minbizia detektatzeko baheketa-proben ontasuna eztabaidaren erdigunean dago
"22. Abu, 2019
",Lur-zentimetro bat galtzea naturak 800 urtetan mantso-mantso egindako lana hondatzearekin pareka daiteke
"19. Abu, 2019
","Bikotekidea kontrolatzeko asmoaren eta beharraren sorburua ez da teknologia, norbera baizik"
"24. Uzt, 2019
",Bizipen meteorologikoek beren isla dute artelanetan
"22. Uzt, 2019
",Gorputz Heziketa: genero-estereotipoen eta genero-desberdintasunaren habia
"22. Uzt, 2019
","Adinekoentzako elkarbizitzarako etxebizitzen helburua ez da bakarrik osasuna eta ongizatea bilatzea, bizi-proiektu esanguratsuak sortzea baizik"
"17. Uzt, 2019
",Askatasunaren errespetua eta borondate pertsonalaren autonomia gaixotasunean zehar eta heriotza-prozesuan ere mantendu behar dira
"09. Uzt, 2019
",“Gehiago pentsatu behar dugu gaixoarengan tumorean baino”
"09. Uzt, 2019
","Ez dakigu erbesteratuez ia ezer, eta euskal historiografiak ez du horrekiko kezkarik izan"
"09. Uzt, 2019
",Arazoa ezagutzen dugu jada: nor da konponbidea?
"18. Urr, 2020
","Ez dugu eraldaketa erradikala behar, baina bai gizartearen eraldaketa sistemikoa"
"14. Urr, 2020
",Osasunaren eta Garapen Iraunkorraren Europako Batzordeak ingurumenaren narriaduraren eta osasunaren arteko lotura gero eta estuagoa aztertu eta erakutsiko du
"09. Urr, 2020
","GJHak, enpresaren lehiakortasuna handitzeko bidea"
"08. Urr, 2020
","Donostia Sustainability Forumak amaiera emango dio nazioartean ospe handia duten zientzialari eta adituek egindako hitzaldi irekien zikloari, eta oso emaitza positiboa izan du"
"01. Urr, 2020
","Iraunkortasuna: definiziotik, kudeaketa-eskala egokira"
"29. Ira, 2020
","Car Sharing, hau da, pertsona talde batek auto bat edo batzuk partekatzea era egituratuan."
"29. Ira, 2020
",Auto elektrikoaren oraina eta etorkizuna 
"24. Ira, 2020
",Gizakiak naturarekin duen «harreman toxikoa» jakinarazteko erronka
"22. Ira, 2020
",«Osasun-krisiaren eta ingurumen-krisiaren artean dagoen erlazio guztia jakinarazteko erronka dugu»
"08. Ira, 2020
","Klima-aldaketaren ondorioak ez dira soilik ingurumenekoak, baizik eta, era berean, sozialak."
"17. Eka, 2019
",Pobreziaren aurkako eta iraunkortasunaren eta genero-berdintasunaren aldeko borroka lehentasuna izatea ezinbestekoa da
"14. Eka, 2019
",Hirietako mugikortasuna
"16. Mai, 2019
",UPV/EHUko Uda Ikastaroen 38. edizioa gizartearen erronkei erantzuteko eztabaidak jasoko dituen Topagune izango dira
"08. Mai, 2019
",Europaren Eguna 2019
"10. Api, 2019
",Elkano eta lehen mundubira: 500 urte geroago - Ahozko komunikazioetan parte hartzeko epea irekia dago 
"29. Mar, 2019
",Uda Ikastaroen 38. edizioaren aurkezpena BBVA Fundazioaren egoitzan
"04. Mar, 2019
",Zurezko ondarearen kontserbazioari buruzko jarduerak
"01. Mar, 2019
",Unibertsitateko Prestakuntza Duala Europako Unibertsitate Eremuan
"01. Mar, 2019
",Uda Ikastaroak Fundazioak eta Beasaingo Udalak lankidetza hitzarmen bat izenpetu dute 
"13. Ots, 2019
","Itziar Alkorta, UPV/EHUko Uda Ikastaroetako zuzendari berria"
"01. Ots, 2019
",2019 edizioko programa forma hartzen ari da
"01. Ots, 2019
",Urdaibai Biosfera Erreserbako Ondare Interprete-Gidari Formakuntzarako I Ikastaroa 2019 
"01. Ots, 2019
",Nola bizi dolua eta galera ikastetxean
"09. Urt, 2019
",Urdaibai Biosfera Erreserbako Ondare Interprete-Gidari Formakuntzarako Ikastaroa 2019 
"17. Abe, 2018
",Zorionak eta Urte berri on!
"17. Abe, 2018
",2018 Oroitidazkia
"05. Abe, 2018
",XXXVII Edizioaren Memoria 2018
"30. Aza, 2018
",Badira gas naturalaren aldeko erronka bertan behera uzteko alternatibak?
"28. Aza, 2018
",Aktibatu 2019. Natura turismoa eta Iraunkortasunaren VII. jardunaldiak 
"28. Aza, 2018
",Etengabeko prestakuntzan
"25. Mar, 2020
",Azken plazak! Pedagogia terapeutikoari buruzko online ikastaroa
"16. Ots, 2020
",Itsas espezieak poloetara eta ur sakonagoetara doaz
"03. Abe, 2019
",XXXVIII Edizioko Memoria - 2019
"30. Urr, 2019
",2020ko Uda Ikastaroen proposamenak jasotzeko epea azaroaren 18an amaituko da
"08. Urr, 2019
",Proposamenak aurkezteko epea zabalik dago
"01. Urr, 2019
",Proposamenak bidaltzeko epea urriaren 8an irekiko dugu
"01. Urr, 2019
",Nekazaritza Politika Bateratuari buruzko  Uda Ikastaroa 
"19. Ira, 2019
",Uda Ikastaroak gizartearen egungo erronken eztabaidarako topagunea dira
"10. Ira, 2019
",Teknologia berrien erabilera problematiko eta mendekotasun-sortzaileak beste drogekiko mendekotasuna garatzeko probabilitatea handitzen du
"04. Ira, 2019
",Gipuzkoaren erresilientzia sortzeko Plan Estrategikoa
"14. Api, 2020
",Formakuntza profesionala terrorismo jihadistaren munduan
"09. Api, 2020
",Gure ikasleak etorkizunerako prestatzen
"08. Api, 2020
",Hezkuntza ez da gelditzen
"08. Api, 2020
",Edonor izan daiteke gorroto delitu baten biktima
"07. Api, 2020
","Protokoloa, diplomazia eta segurtasuna. Erronkak XXI. mendean"
"03. Api, 2020
","Garai hauetan, hezkuntzan jardutea inoiz baino nekezagoa da emozioen ikuspuntutik"
"31. Mar, 2020
",Geldituko al du pandemiak terrorismo jihadista?
"31. Mar, 2020
","Koronabirusaren erronkaren aurrean, Uda Ikastaroek online programa indartu dute"
"31. Mar, 2020
",Zertan lagun gaitzakete simulazio matematikoek?
"30. Mar, 2020
",2020 online Ikastaroen izen ematea irekita dago
"06. Uzt, 2020
",Kriminologia Berdea: Justizia klabe ekologikoan
"30. Eka, 2020
",Buruari bueltak emateko hainbeste denbora izan ondoren
"26. Eka, 2020
","Adimen artifiziala itxaroten idazten ikasiz, futbolera jolasten dugun bitartean"
"24. Eka, 2020
",Arkeometriarekin hasi eta Espainiako trantsizioan amaitu genuen
"24. Eka, 2020
","Bizi eta zahartu, ahal bada, lagunduta"
"23. Eka, 2020
",Zenbaki guztiak gorriz daudenean
"23. Eka, 2020
",Hitz egin gutxiago laguntzaz eta gehiago lankidetzaz
"17. Eka, 2020
","Eskola diseinatuz, aske izateko zientzia ikasiz"
"17. Eka, 2020
","Pertsonak geolokalizatzeko teknologia bai, horrek emango digun informazioa kudeatzeko gai bagara"
"16. Eka, 2020
",Osasun Publikoaren ikuspuntutik
"11. Eka, 2020
","Nire mezua jakinarazi, irudiak irakurri eta irudia sortu"
"09. Eka, 2020
",Ignacio Zuluagaren tailerretik DJaren partituretara
"05. Eka, 2020
",Iraunkortasun Foroa bultzatzea adostu dute euskal erakundeek
"04. Eka, 2020
","Ondarea zaintzea, ingurune lagunkoiak sortzea eta 4.0 eraikuntza"
"02. Eka, 2020
",Eta nik zer egingo dut?
"01. Eka, 2020
",Osasun Publikoa auzi etiko gisa
"31. Mai, 2020
",Galdera berrietarako erantzunak
"21. Mai, 2020
",Bizi dugun egoera argitzea helburutzat harturik aurkeztu dugu 39. edizioa
"22. Api, 2020
",Gaurkotasun handiko eztabaida
"17. Api, 2020
",UPV/EHUko Uda Ikastaroak aurtengo edizioaren programaren egokitzapena amaitzen ari dira COVID-19aren egoerari aurre egiteko
"04. Uzt, 2022
",Utz diezaiogun informazioa emateari eta has gaitezen komunikatzen
"04. Uzt, 2022
", Krisiak aprobetxatu behar dira aldaketak egiteko
"04. Uzt, 2022
","90eko hamarkadako energia-garapena erabiltzen dugu gaur egun, orain egiten duguna 2050ean egongo da martxan"
"30. Eka, 2022
",Zer egin dezakegu?
"30. Eka, 2022
",Gipuzkoa orain ala betiko
"29. Eka, 2022
",Mexikoko ikasle guztiek badakite nor izan zen Cuauhtemoc. Espainiarrek badakite nor izan zen Hernan Cortes?
"28. Eka, 2022
",“Ekonomia Zirkularraren alderdi txarra da egin beharreko aldaketei ez ekiteko eslogan gisa erabiltzen dela zenbaitetan”
"27. Eka, 2022
",Aintzane Encinas | Real Sociedad de Fútbol. UEFA PRO.
"26. Eka, 2022
","LAURA ROJAS-MARCOS - ""La adaptación saludable a los cambios"""
"24. Eka, 2022
",Surfrider
"13. Uzt, 2021
","""XX. mendea giza eskubideen mendea izan bazen, XXI.ak naturaren eskubideen mendea izan behar du"""
"09. Uzt, 2021
","Kosmoseko beste leku batzuetan bizitza aurkitzen badugu, esan nahiko luke biologia sortzen dela kimika nahiko konplexua denean"
"08. Uzt, 2021
",Zainketen balioa kuantifikatzeak ez du esan nahi gizatasuna kentzen zaienik
"06. Uzt, 2021
",Hau ez da amaitu
"02. Uzt, 2021
",Biodibertsitatea mantentzeko abeltzaintzak duen eginkizuna ez da kontuan hartzen klima-aldaketaren eztabaidan.
"01. Uzt, 2021
",Farmakokutsadura: ingurumena mehatxatzen duen kutsadura ikusezina
"30. Eka, 2021
",Ezin da pertsona baten bizitza laburbildu hiltzeko moduagatik
"21. Eka, 2021
","ETEak, enpresa eraldaketa iraunkorrean galdutako zatia?"
"18. Eka, 2021
",Teknologiarekin sinbiosia duten izakiak gara
"08. Eka, 2021
",Adimen artifizialik gabe ezingo diogu klima krisiari aurre egin
"23. Eka, 2022
",Mugikortasun jasangarria eta Aldaketa Klimatikoa
"22. Eka, 2022
",Moda iraunkorra eta Klima Aldaketa
"21. Eka, 2022
",Ingurumen zuzenbideko masterraren 25.urteurrena
"21. Eka, 2022
",Arrantza jasangarria eta Klima-Aldaketa
"21. Eka, 2022
",Kokapen anitzeko mugak
"21. Eka, 2022
",Brasilgo justizia kriminalaren sistema gero eta gehiago da erantzukizunik aitortzen ez duen “akordioen” sistema bat
"20. Eka, 2022
","Lehen laguntza psikologikoak emateak, lehen minututik hasita, diagnostikoa hobetzen du"
"16. Eka, 2022
",Adimen artifiziala emakume eta seme-alabekiko indarkeria matxistaren aurka
"16. Eka, 2022
",“Biktimentzat onena biktima ez izatea da”
"15. Eka, 2022
",Bilboko Udalak eta UPV/EHU-ko Uda Ikastaroek KulturGest Bilbao programa aurkeztu dute 
"04. Eka, 2021
",2050erako lor daiteke itsas habitat eta espezieen galera iraultzea
"11. Mai, 2021
",Elikagai iraunkorragoak nola lortu
"27. Api, 2021
","DSF-en bigarren edizioan planetaren osasun integralari buruzko edukiak landuko dira, iraunkortasunerako 5 erronkaren bidez"
"18. Api, 2021
","Naturan Heziz, udaberria ezagutu"
"15. Api, 2021
",Ingurumen-hezkuntza eskoletan
"30. Urr, 2020
",Iraultza energetikoa elektrizitatetik pasatzen da
"18. Urr, 2020
","Ez dugu eraldaketa erradikala behar, baina bai gizartearen eraldaketa sistemikoa"
"14. Urr, 2020
",Osasunaren eta Garapen Iraunkorraren Europako Batzordeak ingurumenaren narriaduraren eta osasunaren arteko lotura gero eta estuagoa aztertu eta erakutsiko du
"09. Urr, 2020
","GJHak, enpresaren lehiakortasuna handitzeko bidea"
"08. Urr, 2020
","Donostia Sustainability Forumak amaiera emango dio nazioartean ospe handia duten zientzialari eta adituek egindako hitzaldi irekien zikloari, eta oso emaitza positiboa izan du"
